,State,County,2010_Population,Food_Desert_Population,Food_Desert_Low_Income
408,Georgia,Charlton,12171,591,301
409,Georgia,Chatham,265128,81130,26988
410,Georgia,Chattahoochee,11267,11029,4226
411,Georgia,Chattooga,26015,7917,4469
412,Georgia,Cherokee,214346,91437,21260
413,Georgia,Clarke,116714,48180,28063
414,Georgia,Clay,3183,2355,1802
415,Georgia,Clayton,259424,102914,47157
416,Georgia,Clinch,6798,522,197
417,Georgia,Cobb,688078,276302,71894
418,Georgia,Coffee,42356,3042,1268
419,Georgia,Colquitt,45498,14081,6606
420,Georgia,Columbia,124053,39973,5837
421,Georgia,Cook,17212,324,168
422,Georgia,Coweta,127317,55329,14763
423,Georgia,Crawford,12630,83,33
424,Georgia,Crisp,23439,1656,790
425,Georgia,Dade,16633,0,0
426,Georgia,Dawson,22330,121,51
427,Georgia,DeKalb,691893,161687,61894
428,Georgia,Decatur,27842,4783,2062
429,Georgia,Dodge,21796,74,41
430,Georgia,Dooly,14918,7683,4066
431,Georgia,Dougherty,94565,35806,20112
432,Georgia,Douglas,132403,56399,21401
433,Georgia,Early,11008,633,360
434,Georgia,Echols,4034,194,103
435,Georgia,Effingham,52250,10659,3100
436,Georgia,Elbert,20166,4183,2657
437,Georgia,Emanuel,22598,6952,3766
438,Georgia,Evans,11000,0,0
439,Georgia,Fannin,23682,262,117
440,Georgia,Fayette,106567,40538,7277
441,Georgia,Floyd,96317,28216,12243
442,Georgia,Forsyth,175511,97580,17492
443,Georgia,Franklin,22084,0,0
444,Georgia,Fulton,920581,278665,90845
445,Georgia,Gilmer,28292,4536,2463
446,Georgia,Glascock,3082,2147,853
447,Georgia,Glynn,79626,33307,12381
448,Georgia,Gordon,55186,13502,7157
449,Georgia,Grady,25011,1002,505
450,Georgia,Greene,15994,2601,1756
451,Georgia,Gwinnett,805321,299174,85100
452,Georgia,Habersham,43041,8199,3565
453,Georgia,Hall,179684,54817,19086
454,Georgia,Hancock,9429,5516,3723
455,Georgia,Haralson,28780,4733,2138
456,Georgia,Harris,32024,30,15
457,Georgia,Hart,25213,0,0
458,Georgia,Heard,11834,757,313
459,Georgia,Henry,203922,100553,28444
460,Georgia,Houston,139900,59026,16845
461,Georgia,Irwin,9538,596,267
462,Georgia,Jackson,60485,19350,5629
463,Georgia,Jasper,13900,3165,1426
464,Georgia,Jeff Davis,15068,5427,3170
465,Georgia,Jefferson,16930,121,71
466,Georgia,Jenkins,8340,327,199
467,Georgia,Johnson,9980,886,310
468,Georgia,Jones,28669,9659,3354
469,Georgia,Lamar,18317,4512,2034
470,Georgia,Lanier,10078,27,12
471,Georgia,Laurens,48434,7590,3612
472,Georgia,Lee,28298,9304,2499
473,Georgia,Liberty,63453,25878,13514
474,Georgia,Lincoln,7996,359,224
475,Georgia,Long,14464,616,258
476,Georgia,Lowndes,109233,23503,11709
477,Georgia,Lumpkin,29966,21,8
478,Georgia,Macon,14740,48,33
479,Georgia,Madison,28120,656,303
480,Georgia,Marion,8742,5,3
481,Georgia,McDuffie,21875,173,42
482,Georgia,McIntosh,14333,2276,792
483,Georgia,Meriwether,21992,659,298
484,Georgia,Miller,6125,191,90
485,Georgia,Mitchell,23498,5282,3191
486,Georgia,Monroe,26424,757,366
487,Georgia,Montgomery,9123,1205,673
488,Georgia,Morgan,17868,6362,2645
489,Georgia,Murray,39628,6953,3297
490,Georgia,Muscogee,189885,67461,24622
491,Georgia,Newton,99958,32627,14749
492,Georgia,Oconee,32808,7320,1233
493,Georgia,Oglethorpe,14899,629,292
494,Georgia,Paulding,142324,68935,19482
495,Georgia,Peach,27695,7630,1826
496,Georgia,Pickens,29431,2493,766
497,Georgia,Pierce,18758,1645,766
498,Georgia,Pike,17869,5,1
499,Georgia,Polk,41475,8389,3587
500,Georgia,Pulaski,12010,0,0
501,Georgia,Putnam,21218,3282,1704
502,Georgia,Quitman,2513,76,43
503,Georgia,Rabun,16276,96,22
504,Georgia,Randolph,7719,4076,2507
505,Georgia,Richmond,200549,83649,36910
506,Georgia,Rockdale,85215,32315,11092
507,Georgia,Schley,5010,28,14
508,Georgia,Screven,14593,2966,1324
509,Georgia,Seminole,8729,1041,528
510,Georgia,Spalding,64073,16887,7536
511,Georgia,Stephens,26175,3280,2010
512,Georgia,Stewart,6058,595,346
513,Georgia,Sumter,32819,3934,1939
514,Georgia,Talbot,6865,1512,886
515,Georgia,Taliaferro,1717,1172,719
516,Georgia,Tattnall,25520,3342,1553
517,Georgia,Taylor,8906,410,240
518,Georgia,Telfair,16500,5143,3714
519,Georgia,Terrell,9315,1509,849
520,Georgia,Thomas,44720,15365,7499
521,Georgia,Tift,40118,4090,1725
522,Georgia,Toombs,27223,3170,1666
523,Georgia,Towns,10471,1,1
524,Georgia,Treutlen,6885,2944,1179
525,Georgia,Troup,67044,7243,3337
526,Georgia,Turner,8930,1583,746
527,Georgia,Twiggs,9023,15,11
528,Georgia,Union,21356,297,114
529,Georgia,Upson,27153,6752,3580
530,Georgia,Walker,68756,18376,8960
531,Georgia,Walton,83768,27806,9995
532,Georgia,Ware,36312,11268,4623
533,Georgia,Warren,5834,122,76
534,Georgia,Washington,21187,6307,3330
535,Georgia,Wayne,30099,5460,2794
536,Georgia,Webster,2799,50,32
537,Georgia,Wheeler,7421,366,187
538,Georgia,White,27144,0,0
539,Georgia,Whitfield,102599,26574,13631
540,Georgia,Wilcox,9255,73,40
541,Georgia,Wilkes,10593,1507,901
542,Georgia,Wilkinson,9563,2077,1037
543,Georgia,Worth,21679,561,231
544,Hawaii,Hawaii,185079,63835,23002
545,Hawaii,Honolulu,953207,236639,53053
546,Hawaii,Kalawao,90,0,0
547,Hawaii,Kauai,67091,20002,4781
548,Hawaii,Maui,154834,49745,14028
549,Idaho,Ada,392365,107905,26010
550,Idaho,Adams,3976,424,200
551,Idaho,Bannock,82839,27367,8140
552,Idaho,Bear Lake,5986,1549,434
553,Idaho,Benewah,9285,2078,834
554,Idaho,Bingham,45607,14711,5538
555,Idaho,Blaine,21376,1693,556
556,Idaho,Boise,7028,4479,1800
557,Idaho,Bonner,40877,6822,2575
558,Idaho,Bonneville,104234,41420,12657
559,Idaho,Boundary,10972,1599,815
560,Idaho,Butte,2891,618,308
561,Idaho,Camas,1117,1117,613
562,Idaho,Canyon,188923,49984,21124
563,Idaho,Caribou,6963,1694,655
564,Idaho,Cassia,22952,4534,1937
565,Idaho,Clark,982,982,642
566,Idaho,Clearwater,8761,688,339
567,Idaho,Custer,4368,1878,747
568,Idaho,Elmore,27038,4472,2504
569,Idaho,Franklin,12786,916,439
570,Idaho,Fremont,13242,6181,2454
571,Idaho,Gem,16719,5416,2183
572,Idaho,Gooding,15464,125,69
573,Idaho,Idaho,16267,5576,2248
574,Idaho,Jefferson,26140,5463,2047
575,Idaho,Jerome,22374,5503,3025
576,Idaho,Kootenai,138494,40492,12905
577,Idaho,Latah,37244,7389,1857
578,Idaho,Lemhi,7936,1995,841
579,Idaho,Lewis,3821,1853,665
580,Idaho,Lincoln,5208,5074,2364
581,Idaho,Madison,37536,8058,4661
582,Idaho,Minidoka,20069,6520,2907
583,Idaho,Nez Perce,39265,9563,2622
584,Idaho,Oneida,4286,491,209
585,Idaho,Owyhee,11526,2127,1003
586,Idaho,Payette,22623,5664,2368
587,Idaho,Power,7817,987,450
588,Idaho,Shoshone,12765,1857,857
589,Idaho,Teton,10170,906,183
590,Idaho,Twin Falls,77230,10722,3386
591,Idaho,Valley,9862,1836,641
592,Idaho,Washington,10198,1724,829
593,Illinois,Adams,67103,10991,2155
594,Illinois,Alexander,8238,1816,1054
595,Illinois,Bond,17768,3000,1250
596,Illinois,Boone,54165,16836,4506
597,Illinois,Brown,6937,2094,1153
598,Illinois,Bureau,34978,13352,3856
599,Illinois,Calhoun,5089,578,219
600,Illinois,Carroll,15387,3011,1032
601,Illinois,Cass,13642,1478,386
602,Illinois,Champaign,201081,45516,12183
603,Illinois,Christian,34800,1859,694
604,Illinois,Clark,16335,1755,483
605,Illinois,Clay,13815,2312,543
606,Illinois,Clinton,37762,3097,665
607,Illinois,Coles,53873,14803,5866
608,Illinois,Cook,5194675,389470,91510
609,Illinois,Crawford,19817,1728,570
610,Illinois,Cumberland,11048,0,0
611,Illinois,De Witt,16561,592,167
612,Illinois,DeKalb,105160,39635,16025
613,Illinois,Douglas,19980,2347,749
614,Illinois,DuPage,916924,207216,33143
615,Illinois,Edgar,18576,7712,3326
616,Illinois,Edwards,6721,1243,533
617,Illinois,Effingham,34242,6197,1898
618,Illinois,Fayette,22140,8717,3745
619,Illinois,Ford,14081,2791,990
620,Illinois,Franklin,39561,8626,3142
621,Illinois,Fulton,37069,3985,1703
622,Illinois,Gallatin,5589,4205,1636
623,Illinois,Greene,13886,1891,1014
624,Illinois,Grundy,50063,15055,3080
625,Illinois,Hamilton,8457,1409,463
626,Illinois,Hancock,19104,8198,2984
627,Illinois,Hardin,4320,715,206
628,Illinois,Henderson,7331,99,33
629,Illinois,Henry,50486,11434,3267
630,Illinois,Iroquois,29718,5150,1648
631,Illinois,Jackson,60218,21008,9623
632,Illinois,Jasper,9698,1477,404
633,Illinois,Jefferson,38827,11677,4382
634,Illinois,Jersey,22985,4054,871
635,Illinois,Jo Daviess,22678,4378,1244
636,Illinois,Johnson,12582,1352,511
637,Illinois,Kane,515269,108259,21648
638,Illinois,Kankakee,113449,17106,4697
639,Illinois,Kendall,114736,34088,6194
640,Illinois,Knox,52919,11162,4134
641,Illinois,La Salle,113924,27093,7679
642,Illinois,Lake,703462,249390,40959
643,Illinois,Lawrence,16833,3480,1270
644,Illinois,Lee,36031,5904,1774
645,Illinois,Livingston,38950,4088,1397
646,Illinois,Logan,30305,7399,2167
647,Illinois,Macon,110768,36171,8167
648,Illinois,Macoupin,47765,8797,3466
649,Illinois,Madison,269282,100689,32340
650,Illinois,Marion,39437,9896,4647
651,Illinois,Marshall,12640,265,82
652,Illinois,Mason,14666,4526,1780
653,Illinois,Massac,15429,849,349
654,Illinois,McDonough,32612,6813,2971
655,Illinois,McHenry,308760,134513,23067
656,Illinois,McLean,169572,55623,17999
657,Illinois,Menard,12705,1637,271
658,Illinois,Mercer,16434,3696,1403
659,Illinois,Monroe,32957,12350,1846
660,Illinois,Montgomery,30104,6885,2283
661,Illinois,Morgan,35547,13202,5218
662,Illinois,Moultrie,14846,374,109
663,Illinois,Ogle,53497,7907,2304
664,Illinois,Peoria,186494,46697,12895
665,Illinois,Perry,22350,5153,2504
666,Illinois,Piatt,16729,1531,267
667,Illinois,Pike,16430,3471,1631
668,Illinois,Pope,4470,1082,341
669,Illinois,Pulaski,6161,1284,591
670,Illinois,Putnam,6006,656,132
671,Illinois,Randolph,33476,8456,2682
672,Illinois,Richland,16233,1179,479
673,Illinois,Rock Island,147546,18892,7024
674,Illinois,Saline,24913,8872,4448
675,Illinois,Sangamon,197465,42405,9205
676,Illinois,Schuyler,7544,1293,387
677,Illinois,Scott,5355,223,68
